시군명,등록동물수(마리),(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,동물소유자당등록동물수
가평군,669.5,361.6666666666667,261.0,46.833333333333336,
고양시,1386.3584905660377,859.6415094339623,444.52830188679246,82.18867924528301,1.5150943396226415
과천시,297.4,166.5,100.8,30.1,1.329
광명시,2520.125,1455.75,789.25,275.125,1.33
광주시,1320.090909090909,751.5909090909091,389.6818181818182,178.8181818181818,1.5654545454545454
구리시,1768.7142857142858,959.8571428571429,679.8571428571429,129.0,1.3728571428571428
군포시,15480.0,9161.0,4449.0,1897.0,1.26
김포시,527.4666666666667,265.46666666666664,212.0,50.0,1.3039999999999998
남양주시,2684.8125,1702.5,627.9375,354.375,1.4175
동두천시,583.1666666666666,290.0833333333333,258.4166666666667,34.666666666666664,1.6575
부천시,2372.75,1253.0,905.6666666666666,214.08333333333334,2.63
성남시,1211.4782608695652,772.1739130434783,337.7608695652174,101.54347826086956,1.318913043478261
수원시,1187.8181818181818,751.7818181818182,313.5090909090909,122.52727272727273,1.3559999999999999
시흥시,1017.9666666666667,685.4333333333333,225.6,106.93333333333334,1.5070000000000001
안산시,1435.9666666666667,775.3333333333334,390.1333333333333,270.5,1.494
안성시,221.66666666666666,107.46666666666667,67.33333333333333,46.86666666666667,1.478888888888889
안양시,5092.0,3322.1428571428573,1318.142857142857,451.7142857142857,1.2585714285714287
양주시,538.5454545454545,277.95454545454544,200.86363636363637,59.72727272727273,1.5563636363636364
양평군,1107.5833333333333,581.0,289.6666666666667,236.91666666666666,1.9525
여주시,164.125,61.84375,53.09375,49.1875,1.6128125
연천군,202.0,108.2,89.9,10.1,1.6239999999999999
오산시,602.9583333333334,356.4166666666667,215.95833333333334,30.583333333333332,1.3229166666666667
용인시,1395.1944444444443,718.1666666666666,460.75,216.27777777777777,1.3624999999999998
의왕시,599.0909090909091,312.09090909090907,171.63636363636363,115.45454545454545,1.4172727272727272
의정부시,58997.0,12679.0,31835.0,14483.0,
이천시,525.88,277.24,191.96,56.68,1.5512000000000001
파주시,687.3428571428572,414.65714285714284,223.0,49.68571428571428,1.6417142857142857
평택시,817.1351351351351,396.8378378378378,263.05405405405406,157.24324324324326,1.4283783783783783
포천시,620.4444444444445,406.1666666666667,114.33333333333333,99.94444444444444,1.9544444444444444
하남시,766.695652173913,440.1304347826087,255.7826086956522,70.78260869565217,1.6326086956521737
화성시,928.1538461538462,485.7692307692308,363.6923076923077,78.6923076923077,1.5409615384615383
