시군명,등록동물수(마리),(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표
가평군,4017,2170,1566,281
고양시,73477,45561,23560,4356
과천시,2974,1665,1008,301
광명시,20161,11646,6314,2201
광주시,29042,16535,8573,3934
구리시,12381,6719,4759,903
군포시,15480,9161,4449,1897
김포시,7912,3982,3180,750
남양주시,42957,27240,10047,5670
동두천시,6998,3481,3101,416
부천시,56946,30072,21736,5138
성남시,55728,35520,15537,4671
수원시,65330,41348,17243,6739
시흥시,30539,20563,6768,3208
안산시,43079,23260,11704,8115
안성시,9975,4836,3030,2109
안양시,35644,23255,9227,3162
양주시,11848,6115,4419,1314
양평군,13291,6972,3476,2843
여주시,5252,1979,1699,1574
연천군,2020,1082,899,101
오산시,14471,8554,5183,734
용인시,50227,25854,16587,7786
의왕시,6590,3433,1888,1270
의정부시,58997,12679,31835,14483
이천시,13147,6931,4799,1417
파주시,24057,14513,7805,1739
평택시,30234,14683,9733,5818
포천시,11168,7311,2058,1799
하남시,17634,10123,5883,1628
화성시,48264,25260,18912,4092
