시군명,등록동물수(마리),동물소유자당등록동물수
가평군,669.5,
고양시,1386.3584905660377,1.5150943396226415
과천시,297.4,1.329
광명시,2520.125,1.33
광주시,1320.090909090909,1.5654545454545454
구리시,1768.7142857142858,1.3728571428571428
군포시,15480.0,1.26
김포시,527.4666666666667,1.3039999999999998
남양주시,2684.8125,1.4175
동두천시,583.1666666666666,1.6575
부천시,2372.75,2.63
성남시,1211.4782608695652,1.318913043478261
수원시,1187.8181818181818,1.3559999999999999
시흥시,1017.9666666666667,1.5070000000000001
안산시,1435.9666666666667,1.494
안성시,221.66666666666666,1.478888888888889
안양시,5092.0,1.2585714285714287
양주시,538.5454545454545,1.5563636363636364
양평군,1107.5833333333333,1.9525
여주시,164.125,1.6128125
연천군,202.0,1.6239999999999999
오산시,602.9583333333334,1.3229166666666667
용인시,1395.1944444444443,1.3624999999999998
의왕시,599.0909090909091,1.4172727272727272
의정부시,58997.0,
이천시,525.88,1.5512000000000001
파주시,687.3428571428572,1.6417142857142857
평택시,817.1351351351351,1.4283783783783783
포천시,620.4444444444445,1.9544444444444444
하남시,766.695652173913,1.6326086956521737
화성시,928.1538461538462,1.5409615384615383
