시군명,인허가일자,영업상태명,업체수
화성시,20080609,정상,1
화성시,20080609,정상,1
화성시,20080623,정상,1
화성시,20080623,정상,1
화성시,20080630,정상,1
파주시,20080714,정상,1
파주시,20080714,정상,1
안산시,20080722,정상,1
남양주시,20080808,정상,1
여주시,20080923,정상,1
파주시,20081001,정상,1
과천시,20081014,정상,1
화성시,20081118,정상,1
화성시,20090309,정상,1
남양주시,20090511,정상,1
여주시,20110308,정상,1
안양시,20111125,정상,1
부천시,20120604,정상,1
고양시,20120829,정상,1
고양시,20120927,정상,1
여주시,20121224,정상,1
화성시,20130208,정상,1
구리시,20140212,정상,1
여주시,20140301,정상,1
파주시,20140304,정상,1
여주시,20140305,정상,1
평택시,20140519,정상,1
남양주시,20140624,정상,1
포천시,20140718,정상,1
파주시,20141113,정상,1
연천군,20141117,정상,1
연천군,20141117,정상,1
김포시,20150127,정상,1
양평군,20150731,정상,1
연천군,20150915,정상,1
포천시,20151022,정상,1
김포시,20151211,정상,1
김포시,20151223,정상,1
양평군,20160321,정상,1
여주시,20160328,정상,1
시흥시,20160511,정상,1
양평군,20160512,정상,1
김포시,20160518,정상,1
안산시,20160523,정상,1
평택시,20160530,정상,1
연천군,20160531,정상,1
연천군,20160531,정상,1
연천군,20160531,정상,1
연천군,20160531,정상,1
연천군,20160531,정상,1
연천군,20160531,정상,1
남양주시,20160531,정상,1
파주시,20160601,정상,1
화성시,20160602,정상,1
연천군,20160607,정상,1
연천군,20160607,정상,1
연천군,20160608,정상,1
연천군,20160608,정상,1
이천시,20160614,정상,1
양평군,20160622,정상,1
안산시,20160622,정상,1
남양주시,20160623,정상,1
고양시,20160628,정상,1
양평군,20160704,정상,1
연천군,20160707,정상,1
양평군,20160712,정상,1
연천군,20160712,정상,1
남양주시,20160714,정상,1
수원시,20160715,정상,1
양평군,20160715,정상,1
포천시,20160721,정상,1
부천시,20160725,정상,1
파주시,20160725,정상,1
파주시,20160725,정상,1
수원시,20160725,정상,1
부천시,20160727,정상,1
연천군,20160802,정상,1
연천군,20160808,정상,1
부천시,20160816,정상,1
용인시,20160817,정상,1
양평군,20160817,정상,1
양평군,20160818,정상,1
연천군,20160826,정상,1
연천군,20160829,정상,1
연천군,20160909,정상,1
연천군,20160909,정상,1
연천군,20160912,정상,1
양평군,20160920,정상,1
여주시,20160929,정상,1
시흥시,20161004,정상,1
김포시,20161018,정상,1
김포시,20161018,정상,1
양평군,20161107,정상,1
파주시,20161109,정상,1
이천시,20161114,정상,1
이천시,20161121,정상,1
김포시,20161121,정상,1
이천시,20161121,정상,1
화성시,20161128,정상,1
안성시,20161221,정상,1
파주시,20170103,정상,1
파주시,20170103,정상,1
양주시,20170104,정상,1
포천시,20170118,정상,1
화성시,20170126,정상,1
가평군,20170227,정상,1
김포시,20170309,정상,1
파주시,20170322,정상,1
평택시,20170330,정상,1
파주시,20170331,정상,1
광주시,20170405,정상,1
포천시,20170406,정상,1
여주시,20170410,정상,1
포천시,20170502,정상,1
포천시,20170502,정상,1
김포시,20170510,정상,1
여주시,20170523,정상,1
양평군,20170524,정상,1
양평군,20170524,정상,1
양평군,20170609,정상,1
양평군,20170626,정상,1
김포시,20170713,정상,1
포천시,20170724,정상,1
파주시,20170731,정상,1
양주시,20170802,정상,1
화성시,20170807,정상,1
양평군,20170822,정상,1
연천군,20170828,정상,1
화성시,20170831,정상,1
양평군,20170831,정상,1
이천시,20170901,정상,1
이천시,20170901,정상,1
이천시,20170901,정상,1
시흥시,20170911,정상,1
연천군,20170920,정상,1
고양시,20170927,정상,1
양주시,20171011,정상,1
양주시,20171013,정상,1
이천시,20171016,정상,1
김포시,20171024,정상,1
김포시,20171027,정상,1
양평군,20171027,정상,1
고양시,20171028,정상,1
양평군,20171030,정상,1
이천시,20171030,정상,1
양평군,20171030,정상,1
화성시,20171106,정상,1
김포시,20171108,정상,1
여주시,20171113,정상,1
이천시,20171116,정상,1
고양시,20171127,정상,1
고양시,20171129,정상,1
양평군,20171201,정상,1
양주시,20171204,정상,1
이천시,20171207,정상,1
김포시,20171208,정상,1
포천시,20171211,정상,1
포천시,20171214,정상,1
가평군,20171222,정상,1
파주시,20171222,정상,1
파주시,20171222,정상,1
평택시,20171222,정상,1
화성시,20171227,정상,1
파주시,20180116,정상,1
용인시,20180116,정상,1
포천시,20180125,정상,1
이천시,20180205,정상,1
양평군,20180209,정상,1
가평군,20180212,정상,1
파주시,20180226,정상,1
양평군,20180227,정상,1
파주시,20180306,정상,1
파주시,20180308,정상,1
양평군,20180308,정상,1
파주시,20180309,정상,1
광주시,20180312,정상,1
안성시,20180312,정상,1
이천시,20180314,정상,1
가평군,20180316,정상,1
안성시,20180320,정상,1
연천군,20180321,정상,1
양평군,20180321,정상,1
김포시,20180322,정상,1
여주시,20180323,정상,1
화성시,20180323,정상,1
여주시,20180323,정상,1
김포시,20180327,정상,1
이천시,20180328,정상,1
안성시,20180329,정상,1
남양주시,20180329,정상,1
안성시,20180329,정상,1
포천시,20180405,정상,1
양평군,20180406,정상,1
파주시,20180406,정상,1
안성시,20180406,정상,1
하남시,20180406,정상,1
파주시,20180406,정상,1
이천시,20180410,정상,1
이천시,20180410,정상,1
용인시,20180410,정상,1
고양시,20180410,정상,1
용인시,20180410,정상,1
이천시,20180410,정상,1
용인시,20180410,정상,1
양평군,20180411,정상,1
의정부시,20180412,정상,1
포천시,20180413,정상,1
양주시,20180416,정상,1
용인시,20180416,정상,1
남양주시,20180417,정상,1
화성시,20180418,정상,1
시흥시,20180419,정상,1
시흥시,20180419,정상,1
포천시,20180419,정상,1
동두천시,20180419,정상,1
광주시,20180420,정상,1
용인시,20180424,정상,1
남양주시,20180425,정상,1
양평군,20180425,정상,1
김포시,20180430,정상,1
광주시,20180430,정상,1
시흥시,20180501,정상,1
