,연도,행정구역명,총 인구수,총 동물수
0,2022,가평군,62168,4017
1,2022,고양시,1079277,73477
2,2022,과천시,78301,2974
3,2022,광명시,290756,20161
4,2022,광주시,388893,29042
5,2022,구리시,191011,12381
6,2022,군포시,267493,15480
7,2022,김포시,485609,7912
8,2022,남양주시,734642,42957
9,2022,동두천시,93260,6998
10,2022,부천시,801503,113892
11,2022,성남시,928267,55728
12,2022,수원시,1188234,65330
13,2022,시흥시,512721,30539
14,2022,안산시,650708,86158
15,2022,안성시,189772,19950
16,2022,안양시,549724,35644
17,2022,양주시,236142,54805
18,2022,양평군,121789,13291
19,2022,여주시,112410,5252
20,2022,연천군,42731,2020
21,2022,오산시,230028,14471
22,2022,용인시,1075877,50227
23,2022,의왕시,162137,6590
24,2022,의정부시,464358,58997
25,2022,이천시,222722,13147
26,2022,파주시,486515,24057
27,2022,평택시,569369,60468
28,2022,포천시,148469,11168
29,2022,하남시,323558,17634
30,2022,화성시,892038,48264
